subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,d,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
28234,78,173.64245840062102,173.09065183477202,16,16,379.28491680124205,378.18130366954404,416.9922580282755,415.8886448965775,-1.1036131316980118,-1.1036131316980118,0.3964170849711507,-2.8818114971624795,1.3619035132735917,0.4480329415174154,1.4640169278776478,True,True
28308,144,182.3868980074911,155.14542027266216,28,28,420.7737960149822,366.29084054532433,503.92856840311026,449.44561293345237,-54.482955469657895,-54.482955469657895,0.001232778711053447,0.6647700976913982,-2.763040449565101,0.6544087395368152,0.9968983222819415,True,True
28309,86,193.16930202855866,191.8182520441999,16,16,418.3386040571173,415.6365040883998,457.60816079717347,454.9060608284559,-2.702099968717505,-2.7020999687175618,0.42372154968765036,0.7928211862724284,0.9826710118853238,0.7879875315943244,0.9681878054487558,True,True
28999,4,3.309418892298924,0.2930156010437438,8,8,22.618837784597847,16.586031202087486,17.709192673556974,11.676386091046613,-6.032806582510361,-6.032806582510361,-1.6180050426252235,0.7724547591615657,-31.308313467982238,0.9624980531695326,-2.7808855106979014,True,True
29212,158,258.05366152795153,201.91765396580777,28,28,572.1073230559031,459.83530793161555,657.8599839806582,545.5879688563706,-112.27201512428752,-112.27201512428758,0.2833618171056624,-2.8678836065133595,1.2211819760323772,0.5477374136259725,0.6557544936991476,True,True
29220,83,153.0814595466086,129.76537266702783,28,28,362.1629190932172,315.53074533405567,429.890456111522,383.2582823523604,-46.63217375916156,-46.63217375916156,0.2655053016563355,-3.2550004915185236,1.2745561755099737,0.6191537896155496,1.0629338803065995,True,True
29221,149,237.01631183215727,221.1344865442291,28,28,530.0326236643145,498.2689730884582,614.1431202307874,582.3794696549311,-31.76365057585633,-31.76365057585633,0.20658820604309847,-3.2550004915185236,1.1233764917229252,0.490810525075852,0.9611572119490561,True,True
29227,85,146.40340727208337,125.19353059688979,26,26,344.80681454416674,302.3870611937796,408.31574721291497,365.8959938625278,-42.41975335038717,-42.41975335038717,0.10701397904366967,-2.8564381497771416,3.2128055525090007,0.758389782678202,2.040658056435284,True,True
29230,194,186.37277132553737,168.19225121445606,28,28,428.74554265107474,392.3845024289121,520.245571104848,483.88453088268534,-36.361040222162615,-36.361040222162615,0.20527753952216937,-2.3991422797875215,0.8467754913769323,0.4624092495248388,0.6627658003117004,True,True
29233,150,150.36067555300286,146.68894075662175,28,28,356.7213511060057,349.3778815132435,441.0191393407009,433.6756697479386,-7.343469592762233,-7.34346959276229,-0.9470204678569977,0.6203711938052167,1.0966585162423153,0.6213831859103236,4.023964845102336,True,True
29239,80,151.2417301079257,139.55373136603163,23,23,348.4834602158514,325.10746273206325,403.2700728133507,379.8940753295625,-23.375997483788126,-23.375997483788183,0.3227910986243114,0.4248470763464229,0.932567052913754,0.4550561625107584,0.8920217885783575,True,True
29240,79,126.00130989354157,124.36677626681512,28,28,308.0026197870832,304.73355253363025,374.34715965615976,371.07809240270683,-3.2690672534529313,-3.2690672534529313,0.1902471525813105,-3.885237275406069,1.4036870595683746,0.33188190857914945,1.4935860386339204,True,True
29245,73,103.80373371449897,74.01757462419103,28,28,263.60746742899795,204.03514924838206,327.7403317811529,268.168013600537,-59.572318180615895,-59.57231818061592,0.10771091608467295,0.6605274457096847,-2.763040449565101,0.6472014835188191,2.0299862898004966,True,True
29280,73,120.09852396681751,110.35083491631916,23,23,286.197047933635,266.70166983263834,338.87761508004803,319.3822369790513,-19.495378100996675,-19.49537810099673,-2.7249128727392753,4.798948736168336,1.4451481485441064,3.0809364131868957,5.451632834116349,True,True
29281,96,129.47579056410075,111.10640590159828,28,28,314.9515811282015,278.2128118031966,386.7533304893009,350.01456116429597,-36.73876932500491,-36.73876932500491,0.06497598978505562,3.0132661551548408,-2.763040449565101,3.1287568063759936,1.296975355911542,True,True
29303,127,200.27859423797094,198.34402176864953,28,28,456.55718847594187,452.68804353729905,536.1944268967825,532.3252819581396,-3.869144938642819,-3.869144938642876,0.16411923285710703,-2.6463277000955783,1.148144657559255,0.4769824076275468,0.9392918909390635,True,True
29305,115,128.3185543105022,113.85073743721009,28,28,312.6371086210044,283.70147487442017,389.4952082151754,360.55957446859117,-28.935633746584244,-28.935633746584244,0.09967698045098343,0.817651368977146,-2.9083384968699866,0.8144425284558395,0.8687924817437283,True,True
29306,172,180.47105627268473,179.29280245323187,28,28,416.94211254536947,414.58560490646374,505.07195789614616,502.71545025724043,-2.3565076389057253,-2.3565076389057253,0.020772125747559843,0.4142541078550791,1.119100953117159,0.4143451168290086,1.3128387276217788,True,True
29307,104,112.10325123188498,101.09847248980434,28,28,280.20650246377,258.1969449796087,354.2494476397284,332.2398901555671,-22.00955748416129,-22.00955748416129,-3.1313756632233125,0.8224886639308568,0.8960208660728398,0.8286971804407925,4.142807647697737,True,True
29310,75,151.56845949004514,149.4331119656603,22,22,347.1369189800903,342.8662239313206,398.12165747788913,393.85096242911936,-4.27069504876971,-4.270695048769767,0.27885713230773335,-2.4564641099545095,1.267296670771636,0.5634129302374097,1.2208031471173648,True,True
29318,101,183.85112652877368,163.17697073953545,27,27,421.70225305754735,380.3539414790709,492.3105070122614,450.9621954337849,-41.348311578476455,-41.348311578476455,0.3002689237046936,2.93337121735249,0.7962786571134978,0.9580368444678171,0.9930517692383592,True,True
29326,132,217.21884217056896,197.7066964635623,28,28,490.4376843411379,451.4133929271246,571.1561381735563,532.131846759543,-39.024291414013305,-39.024291414013305,0.2913958941422789,0.7057988624259939,-2.445940337976929,0.7024525629540024,0.7302067204654248,True,True
29328,115,203.19959080919438,129.89906715092687,28,28,462.39918161838875,315.79813430185374,539.2572812125597,392.65623389602473,-146.60104731653502,-146.60104731653502,0.15114954305300143,-2.816382971653584,6.662138205518032,0.6994734619180198,1.1773802619487874,True,True
