subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,status,message,nit,nfev
1532,134,True,215.0996684298878,0.40942708163667774,3.876746294874432,-0.7,0.27,0.7756284697908391,1.228502641587014,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,140
1535,185,True,96.07743940065416,0.0652747811150237,1.242775286175194,-0.7,0.27,0.7578406273040793,0.6808936220451653,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,28,252
1536,141,True,170.44320709381643,0.4040967790344996,2.450830367531123,-0.7,0.23773871919822542,0.12073168094475693,0.9093456427645379,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,189
1538,150,False,168.17136513848283,0.28414303910668365,1.6152922263061777,-0.7001997037879745,0.27,0.9320001840771933,0.6129411163042068,2,ABNORMAL_TERMINATION_IN_LNSRCH,18,714
1540,130,True,167.66154791726166,0.2635106327894785,2.0327929142918113,-0.7,0.23,0.21471220628638543,1.4661382996355978,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,23,196
1542,136,True,164.21430754461525,0.4081511517332042,3.663618629708327,-0.7072635490110873,0.27,0.6590002626381303,0.9327909845837498,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,7,483
1548,86,True,149.18251903653572,0.2679216782042153,1.2457439120025948,-0.7,0.27,0.21714864833239914,1.8223854303636593,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,168
1552,121,True,125.98733894182195,0.2967102439119853,2.4498870862014623,-0.7,0.27,0.8110893300767483,0.6593858085134606,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,168
1557,151,True,195.51995708725738,0.298272265111789,1.8147864660974602,-0.7,0.23,0.44778480452401964,1.1327185956760626,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,26,567
28000,125,True,208.97372717657578,0.36957871387317676,4.00841282885648,-0.7,0.27,0.664398412125653,1.5521972616482076,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,147
28234,97,True,158.7797915760324,0.4376961408035506,3.5997185984472826,-0.7,0.27,0.4269941673477869,1.4930036046594601,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,154
28308,170,True,146.07561469862765,0.17414475158780524,1.4671503664064274,-0.7,0.27,0.6907983611061272,0.7365360690492749,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,25,357
28309,104,False,160.6039182934483,0.3122045515820507,1.6035137991863588,-0.7,0.27,0.9490006630606291,1.5089188237359255,2,ABNORMAL_TERMINATION_IN_LNSRCH,12,532
28999,19,True,1.377407481715582,1.475768584813115,9.319767394271869,-0.7,0.27,0.8126148236499412,0.5,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,29,266
29212,183,True,184.87908752435226,0.29459902122090564,2.117493353295808,-0.7,0.24444440712503707,0.5391375222633971,0.7462468200949863,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,23,196
29220,112,True,125.77894906525506,0.2908359557866892,1.7348563186188304,-0.7,0.2500754206605678,0.6634528249956908,0.788114861216686,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,27,581
29221,175,True,215.95496449311563,0.2934349375944981,2.200137356583636,-0.7,0.27,0.5305354359325174,0.9757395506398292,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,343
29227,111,True,151.36498560913415,0.31115293207430805,3.737761212168069,-0.7,0.27,0.7176178964161167,1.7872907616862694,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,26,203
29230,221,True,153.94773197760514,0.30606362723484415,2.7479258045647135,-0.7,0.23380402985910897,0.5647871060117258,0.6654098514200429,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,140
29233,175,True,141.00926470198837,0.17480047749000527,2.595048790688287,-0.9,0.23,0.6806539900742148,1.4596225258434965,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,14,119
29239,106,True,130.83574628765672,0.3355123249997658,2.2436661002532885,-0.7,0.2659140098139178,0.4503800431216216,0.8967926125335557,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22,210
29240,107,True,109.8417826073581,0.3030431323254735,1.8092271074623207,-0.7869151061196284,0.23,0.3938677097197851,1.1654329917933917,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,175
