subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,d,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1535,160,97.18104183928348,96.07743940065416,5,6,204.36208367856696,204.1548788013083,219.73795275473609,222.60592169271126,-0.207204877258647,2.867968937975178,0.01,0.0652747811150237,0.7304583087297345,0.5,0.7578406273040793,0.6808936220451653,True,True
1536,123,168.76164046148727,170.44320709381643,5,6,347.52328092297455,352.88641418763285,361.5842026998366,369.75952031986736,5.363133264658302,8.17531762003074,0.2319120189700351,0.4040967790344996,0.1111675014115511,0.7162184445882094,0.1207316809447569,0.909345642764538,True,True
1538,125,166.42987272856055,168.17136513848283,5,6,342.8597454571211,348.34273027696565,357.0013141436326,365.3126127007795,5.482984819844546,8.31129855714687,0.1055143110709589,0.2841430391066836,0.8735140203688496,0.6079161991868314,0.9320001840771932,0.6129411163042068,True,False
1540,105,168.77069355830872,167.66154791726166,5,6,347.54138711661744,347.3230958345233,360.81118886740506,363.2468579354685,-0.2182912820941283,2.4356690680634188,0.1261298586113306,0.2635106327894785,0.2121034134765244,1.0807800237028966,0.2147122062863854,1.4661382996355978,True,True
1542,111,160.26138715371363,164.21430754461525,5,6,330.52277430742726,340.4286150892305,344.07042531398895,356.6857962971045,9.90584078180325,12.615370983115554,0.1825386156138107,0.4081511517332042,0.5024268124933116,0.7231804106457785,0.6590002626381303,0.9327909845837498,True,True
1548,73,145.38901029547011,149.18251903653572,5,6,300.77802059094023,310.36503807307145,312.2303177966822,324.1077947199618,9.587017482131216,11.87747692327963,0.1685060235437386,0.2679216782042153,0.2004076136283795,1.500297207378992,0.2171486483323991,1.8223854303636593,True,True
1552,96,125.61406267615246,125.98733894182196,5,6,261.2281253523049,263.97467788364395,274.0498663096441,279.36076703245095,2.7465525313390344,5.310900722806878,0.1326072433647099,0.2967102439119853,0.7970997094860659,0.5,0.8110893300767483,0.6593858085134606,True,True
1557,126,195.46063220606692,195.51995708725735,5,6,400.92126441213384,403.0399141745147,415.10267394689123,420.05760561622355,2.118649762380869,4.954931669332325,0.117854605996467,0.298272265111789,0.3749929013083632,1.0711026792044471,0.4477848045240196,1.1327185956760626,True,True
28000,104,206.82737618696,208.97372717657575,5,6,423.65475237392,429.9474543531515,436.8767068696269,445.8137997479997,6.292701979231481,8.937092878372823,0.1022786616942057,0.3695787138731767,0.6190170303584285,1.235285497173901,0.664398412125653,1.5521972616482076,True,True
28234,84,150.08716869581374,158.7797915760324,5,6,310.1743373916275,329.5595831520648,322.3284213858441,344.1444839451247,19.38524576043733,21.816062559280624,0.1822426268292507,0.4376961408035506,0.5013570498245324,1.2848205335696594,0.4269941673477869,1.49300360465946,True,True
28308,145,153.10751030454827,146.07561469862765,5,6,316.21502060909654,304.1512293972553,331.0986893211994,322.01163185177876,-12.063791211841249,-9.087057469420643,0.0370162505726634,0.1741447515878052,0.599758285346674,0.7965632270628499,0.6907983611061272,0.7365360690492749,True,True
28309,91,142.99741794111392,160.6039182934483,5,6,295.99483588222785,333.2078365868966,308.5491334148121,348.2729936259977,37.21300070466873,39.72386021118558,0.1809153583417488,0.3122045515820507,0.949000393105691,0.8983389484695264,0.9490006630606292,1.5089188237359257,True,False
