subj,tau_pavlik,tau_weighted,s_pavlik,s_weighted,rt_r_pavlik,rt_n_pavlik,rt_r_weighted,rt_n_weighted,phi,d,w1
1540,-0.9,-0.7,0.23,0.23,0.18295531962240755,96,0.22965895120748536,96,0.1261298586113306,0.2635106327894785,2.0327929142918113
1542,-0.789347195380674,-0.7072635490110873,0.23,0.27,-0.07035562020462413,83,0.051870808936947475,81,0.1825386156138107,0.4081511517332042,3.663618629708327
1548,-0.7,-0.7,0.27,0.27,0.22221820733820197,42,0.2883057696885066,42,0.1685060235437386,0.2679216782042153,1.2457439120025948
1552,-0.8994996828374967,-0.7,0.27,0.27,0.12490203974195331,83,0.12818404112465748,83,0.1326072433647099,0.2967102439119853,2.4498870862014623
1557,-0.7,-0.7,0.23,0.23,0.06240974820787113,105,0.07143399654582722,104,0.117854605996467,0.298272265111789,1.81478646609746
28000,-0.7,-0.7,0.27,0.27,0.047544955184900074,87,0.1933605806655056,87,0.1022786616942057,0.3695787138731767,4.00841282885648
28234,-0.7,-0.7,0.27,0.27,0.022695773548271254,54,0.12363402233838783,55,0.1822426268292507,0.4376961408035506,3.5997185984472826
28308,-0.8947278867233713,-0.7,0.2510288470646464,0.27,0.0759540217534314,137,0.16513800379692387,136,0.0370162505726634,0.1741447515878052,1.4671503664064274
28309,-0.738553649163115,-0.7,0.27,0.27,-0.0329245063447282,51,-0.054204946540326815,51,0.1809153583417488,0.3122045515820507,1.6035137991863588
28999,-0.7,-0.7,0.23,0.27,,2,,2,0.3792531254992095,1.475768584813115,9.319767394271867
29212,-0.9,-0.7,0.2323705756365969,0.244444407125037,0.09361115042164547,137,0.11362022915260318,137,0.1566671474724938,0.2945990212209056,2.117493353295808
29220,-0.8227736447462962,-0.7,0.2312416937957414,0.2500754206605678,0.3626276615833567,69,0.4062887607359859,68,0.1603065425244517,0.2908359557866892,1.7348563186188304
29221,-0.7026316094288363,-0.7,0.2495086974906671,0.27,-0.09375995460809959,131,-0.029244231210208402,130,0.0961871595130081,0.2934349375944981,2.200137356583636
29227,-0.9,-0.7,0.27,0.27,0.1534933609623338,81,0.2104579377780975,82,0.1158791978309022,0.311152932074308,3.737761212168069
29230,-0.8978201309712566,-0.7,0.23,0.2338040298591089,0.09483176319324757,181,0.13319967209701833,181,0.1324644783155029,0.3060636272348441,2.7479258045647135
29233,-0.9,-0.9,0.23,0.23,0.1419656040160381,149,0.23631058713553985,149,0.0332954211102465,0.1748004774900052,2.595048790688287
29239,-0.8967139828461023,-0.7,0.2387594867066468,0.2659140098139178,0.16832805892679592,63,0.200252194509054,63,0.1954688824831881,0.3355123249997658,2.2436661002532885
29240,-0.9,-0.7869151061196284,0.23,0.23,0.2311440130608614,72,0.2974281990792363,71,0.1552514123938115,0.3030431323254735,1.8092271074623207
29245,-0.9,-0.7001970806661936,0.2572076833562052,0.27,0.19178050346576211,75,0.18906115799516468,74,0.1210956570700847,0.2644945882506936,2.277368115611406
29280,-0.9,-0.7,0.27,0.27,0.18236374217870122,71,0.2786064910213931,71,0.1343308954159538,0.3258808838114766,2.8982707040026336
29281,-0.7,-0.7,0.27,0.27,0.15281248402087386,92,0.09096367553741898,92,0.0440094223851552,0.1989044713543526,1.445666118686732
29303,-0.7,-0.7,0.27,0.27,-0.059949804212681486,108,-0.03393117561467835,108,0.0966365004597599,0.2625638735588405,1.487683179350846
29305,-0.9,-0.7,0.27,0.27,0.13262629749539487,111,0.13967831476805517,112,0.0826738870768264,0.2156405412389565,1.691371854637699
29306,-0.7998375863311912,-0.7,0.23,0.23,0.028062071769084526,168,0.11758161727018226,168,0.01,0.1634657799365346,3.381544635001098
29307,-0.9,-0.7120459262425448,0.23,0.23,0.054841342344892144,103,0.19101085143907007,104,0.0646951689684754,0.2357150989724884,2.7097080063284213
29310,-0.8196494251188672,-0.7,0.27,0.27,0.09195091098674192,64,0.04722137640278025,64,0.1672115083796111,0.2998892218666503,1.7540827732837008
